"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"423","RT @adryenn: @AmericanAir I wish I had more time to explore all the amenities. You‚Äôve got SHOWERS up there???!!!! Seriously cool.",FALSE,0,NA,2017-10-07 23:17:33,FALSE,NA,"916804721876307968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Nu2644",134,TRUE,FALSE,NA,NA
"424","RT @adryenn: @AmericanAir I wish I had more time to explore all the amenities. You‚Äôve got SHOWERS up there???!!!! Seriously cool.",FALSE,0,NA,2017-10-07 23:17:30,FALSE,NA,"916804707582169090",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marilynschoell5",134,TRUE,FALSE,NA,NA
"425","RT @adryenn: @AmericanAir I wish I had more time to explore all the amenities. You‚Äôve got SHOWERS up there???!!!! Seriously cool.",FALSE,0,NA,2017-10-07 23:17:30,FALSE,NA,"916804706495877120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jeanna1824",134,TRUE,FALSE,NA,NA
"426","RT @adryenn: @AmericanAir I wish I had more time to explore all the amenities. You‚Äôve got SHOWERS up there???!!!! Seriously cool.",FALSE,0,NA,2017-10-07 23:17:29,FALSE,NA,"916804703631106048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","saade_simonne",134,TRUE,FALSE,NA,NA
"427","RT @adryenn: @AmericanAir I wish I had more time to explore all the amenities. You‚Äôve got SHOWERS up there???!!!! Seriously cool.",FALSE,0,NA,2017-10-07 23:17:17,FALSE,NA,"916804652846510080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","theo_georgiana",134,TRUE,FALSE,NA,NA
"428","RT @AirlineReporter: And here‚Äôs the @AmericanAir #737mAAx flightdeck. We saved the best for last. And with that, we‚Äôre off to Wichita. ThAA‚Ä¶",FALSE,0,NA,2017-10-07 23:17:15,FALSE,NA,"916804645116350464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MD_11ER",5,TRUE,FALSE,NA,NA
"429","@user47 @IndoBushPilot @PhilFlying @AirlineReporter @AmericanAir They provide devices to use during flight in first class on MAX?",FALSE,0,"user47",2017-10-07 23:17:05,FALSE,"916804298817900544","916804603202736128","15906000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","jmmccarthy2002",0,FALSE,FALSE,NA,NA
"430","RT @adryenn: @AmericanAir I wish I had more time to explore all the amenities. You‚Äôve got SHOWERS up there???!!!! Seriously cool.",FALSE,0,NA,2017-10-07 23:17:04,FALSE,NA,"916804597930487808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","trinamedina1811",134,TRUE,FALSE,NA,NA
"431","@user47 @PhilFlying @AirlineReporter @AmericanAir At 37, married with kids, I'm no good and sweet talking, but my 6‚Ä¶ https://t.co/DZPsv0362I",FALSE,2,"user47",2017-10-07 23:17:03,TRUE,"916804298817900544","916804595275333632","15906000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IndoBushPilot",0,FALSE,FALSE,NA,NA
"432","@nbfowler @chippy194 @AirlineReporter @AmericanAir Odd that you discount the disruptive force of LCCs and ULCCs.",FALSE,0,"nbfowler",2017-10-07 23:17:00,FALSE,"916800579866828800","916804584257015808","19667694","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","user47",0,FALSE,FALSE,NA,NA
"433","RT @user47: @IndoBushPilot @PhilFlying @AirlineReporter @AmericanAir AA has company-owned devices for 1st class and others. You may be able‚Ä¶",FALSE,0,NA,2017-10-07 23:16:36,FALSE,NA,"916804480976457728",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","jmmccarthy2002",1,TRUE,FALSE,NA,NA
"434","@IndoBushPilot @PhilFlying @AirlineReporter @AmericanAir AA has company-owned devices for 1st class and others. You‚Ä¶ https://t.co/yivo24in8V",FALSE,0,"IndoBushPilot",2017-10-07 23:15:52,TRUE,"916799924221599745","916804298817900544","263547393","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","user47",1,FALSE,FALSE,NA,NA
"435","@AmericanAir Make that a 2nd broken acft, and yes, very inconvenienced! Time to retire those dinosaur Super 80‚Äôs. H‚Ä¶ https://t.co/nF1qh6CMvN",FALSE,0,"AmericanAir",2017-10-07 23:15:13,TRUE,"916801052963459074","916804133415419904","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dp618",0,FALSE,FALSE,NA,NA
"436","@user47 @SouthwestAir @AmericanAir @JillianMarisa You should have partied under a new @SouthwestAir  737-max.",FALSE,0,"user47",2017-10-07 23:14:22,FALSE,"916697249421430784","916803921414426624","15906000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Swabastards1",0,FALSE,FALSE,NA,NA
"437","@AmericanAir big props to Jeanelly Leon CLT to GSP 10 7. Best FA I have seen in a long time. Great attitude",FALSE,0,"AmericanAir",2017-10-07 23:13:51,FALSE,NA,"916803787972636672","22536055","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bonedoctorspike",0,FALSE,FALSE,NA,NA
"438","@always5star @tripgourmets @TravelAtWill @napafoodandvine @AWorldWithYou_ @SashaEats @eatlivetraveldr‚Ä¶ https://t.co/SOcKWWM47T",FALSE,3,"always5star",2017-10-07 23:12:11,TRUE,"916746357125369858","916803372069675008","4818214831","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RoarLoud",0,FALSE,FALSE,NA,NA
"439","@AmericanAir just took my $.I was checked in fly out of country had  emergency in restroom and they didn‚Äôt place me in next flight .",FALSE,0,"AmericanAir",2017-10-07 23:11:58,FALSE,NA,"916803315362619393","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheTruthSeeke17",0,FALSE,FALSE,NA,NA
"440","RT @Brittany_MSgirl: I do not like complaining publicly but today was a big fail ... @AmericanAir you need to get it together!",FALSE,0,NA,2017-10-07 23:11:42,FALSE,NA,"916803247490453504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EWChavez",9,TRUE,FALSE,NA,NA
"441","@AmericanAir Delayed an hour- in flight nearly an hour then returned to ORD- status @AmericanAir",FALSE,0,"Sarah549723",2017-10-07 23:09:48,FALSE,"916799294954442752","916802772107919360","848196983508676608","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sarah549723",0,FALSE,FALSE,NA,NA
"442","@always5star @tripgourmets @TravelAtWill @napafoodandvine @RoarLoud @SashaEats @eatlivetraveldr @TouringTastebud‚Ä¶ https://t.co/KJ9OTqI82R",FALSE,3,"always5star",2017-10-07 23:09:45,TRUE,"916746357125369858","916802755762593792","4818214831","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AWorldWithYou_",0,FALSE,FALSE,NA,NA
"443","@AmericanAir We get bourbon now, right? Ì†æÌµÉÌ†æÌµÉ",FALSE,0,"ptolbert",2017-10-07 23:08:42,FALSE,"916802417295060992","916802491676856321","15091152","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ptolbert",0,FALSE,FALSE,NA,NA
"444","Never good when the pilot says ‚Äúno other option‚Äù @AmericanAir",FALSE,0,NA,2017-10-07 23:08:24,FALSE,NA,"916802417295060992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ptolbert",0,FALSE,FALSE,NA,NA
"445","@FarrahGives @AmericanAir @flyLAXairport going it's annoying coming back when you're exhausted it's torture - safe travels!",FALSE,0,"FarrahGives",2017-10-07 23:07:30,FALSE,"916766048724094977","916802189774921728","1340248682","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arieljalali",0,FALSE,FALSE,NA,NA
"446","@AirlineReporter @AmericanAir This concept works perfectly on @united ; download the app and enjoy a wide selection‚Ä¶ https://t.co/nrGi08ebE5",FALSE,0,"AirlineReporter",2017-10-07 23:07:07,TRUE,"916795131365412869","916802093880668161","40113236","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GMC2021",0,FALSE,FALSE,NA,NA
"447","RT @AirlineReporter: Some are bummed the @AmericanAir 737s are going w/ BYOD IFE. We aren‚Äôt. It‚Äôs the future. Note tablet/phone holder in s‚Ä¶",FALSE,0,NA,2017-10-07 23:07:05,FALSE,NA,"916802086754545664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarianoV737",15,TRUE,FALSE,NA,NA
"448","@AmericanAir Is AA still allowing travel to Cuba for People to People travel? i.e. self certified travel?",FALSE,0,"AmericanAir",2017-10-07 23:07:03,FALSE,NA,"916802078844047360","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JustPlaneNutty",0,FALSE,FALSE,NA,NA
"449","2nd try :) (@ American Airlines Flight AA 2665 - @americanair in Grapevine, TX) https://t.co/Epq74QK6E9",FALSE,0,NA,2017-10-07 23:05:10,FALSE,NA,"916801605579747328",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Dieter_Rauscher",0,FALSE,FALSE,"-97.038346","32.907305"
